model,horizon,MAE,RMSE,MAPE,sMAPE
SARIMA,24,0.980822,1.248565,46.164341,39.898249
ARIMA,24,0.991179,1.254264,46.141560,39.986502
Naive,24,1.132998,1.440593,52.991707,46.939526
SeasonalNaive,24,1.381546,1.669496,67.117134,55.364353
XGBoost,24,4.153168,4.547374,191.243439,85.024994
Transformer,24,4.210243,4.379706,191.674927,88.311752
MLP,24,7.191764,7.383707,308.681183,113.242661
ARIMA,48,1.101173,1.335567,47.782095,41.989111
SARIMA,48,1.126140,1.373209,49.450307,42.991830
Naive,48,1.348219,1.674313,59.695549,52.548321
SeasonalNaive,48,1.405125,1.673908,64.082474,55.313396
Transformer,48,4.231249,4.410494,187.876740,87.137444
XGBoost,48,5.828923,6.304276,250.490952,98.778961
MLP,48,8.178037,8.457516,344.811401,117.165207
ARIMA,96,1.072426,1.328476,38.499004,36.890502
SARIMA,96,1.076782,1.342498,39.243417,37.136259
SeasonalNaive,96,1.248407,1.540285,48.835983,46.878372
Naive,96,1.313760,1.653479,49.561115,48.300430
Transformer,96,4.089804,4.265974,163.492661,81.075493
XGBoost,96,7.322712,7.709421,272.832245,106.084320
MLP,96,9.261407,9.559658,346.386322,118.660271
